Fuel Filter Differential Pressure,Right Exhaust Temperature,Left Exhaust Temperature,Engine Load Factor,Engine Speed,Oil Filter Differential Pressure,Engine Oil Pressure,Engine Coolant Temperature,Boost Pressure,Fuel Consumption Rate
-0.6,0.075,0.075,-0.24,0.864,0.771428571,0.45625,0.3,-0.42,-0.121515152
-0.525,-0.434375,-0.4,-0.46,0.876,0.414285714,0.672916667,-0.366666667,-0.813333333,-0.464545455
-0.525,-0.0875,-0.090625,-0.36,0.852,0.771428571,0.452083333,0.333333333,-0.613333333,-0.294242424
-0.475,-0.11875,-0.09375,-0.32,0.892,0.771428571,0.460416667,0.3,-0.56,-0.292727273
-0.35,-0.153125,-0.165625,-0.3,0.834666667,0.328571429,0.68125,-0.366666667,-0.593333333,-0.182424242
-0.45,-0.39375,-0.403125,-0.5,0.864,0.171428571,0.852083333,-0.966666667,-0.873333333,-0.520909091
-0.875,-0.64375,-0.6375,-0.48,-0.332666667,-0.128571429,0.48125,-0.666666667,-1,-0.866363636
-0.25,-0.4375,-0.396875,-0.46,0.864,0.4,0.652083333,-0.3,-0.853333333,-0.454545455
0.4,-0.871875,-0.946875,-0.66,0.837333333,0.6,0.910416667,-1.333333333,-0.986666667,-0.764848485
0.675,-0.490625,-0.44375,-0.56,0.856,0.742857143,0.479166667,0.066666667,-0.873333333,-0.633030303
0.575,-0.31875,-0.309375,-0.48,0.854,0.742857143,0.46875,0.133333333,-0.806666667,-0.492727273
0.45,-0.175,-0.159375,-0.42,0.852,0.814285714,0.427083333,0.266666667,-0.64,-0.355151515
0.55,-0.3875,-0.375,-0.5,0.852666667,0.728571429,0.477083333,0.1,-0.82,-0.512121212
0.475,-0.2125,-0.2,-0.42,0.852,0.771428571,0.454166667,0.166666667,-0.653333333,-0.36030303
0.475,-0.234375,-0.225,-0.42,0.850666667,0.714285714,0.483333333,0.066666667,-0.72,-0.371818182
0.5,-0.390625,-0.384375,-0.5,0.849333333,0.657142857,0.516666667,-0.033333333,-0.82,-0.524545455
0.625,-0.48125,-0.44375,-0.54,0.857333333,0.7,0.49375,0.033333333,-0.826666667,-0.608484848
0.55,-0.359375,-0.353125,-0.48,0.855333333,0.742857143,0.475,0.1,-0.813333333,-0.487575758
0.6,-0.45625,-0.434375,-0.54,0.852666667,0.685714286,0.495833333,0.033333333,-0.793333333,-0.578484848
0.55,-0.45,-0.421875,-0.52,0.855333333,0.7,0.50625,0,-0.813333333,-0.576969697
0.5,-0.525,-0.471875,-0.54,0.852666667,0.414285714,0.645833333,-0.466666667,-0.833333333,-0.582121212
0.05,-0.334375,-0.43125,-0.52,0.854,0.671428571,0.51875,0.133333333,-0.813333333,-0.569090909
0.075,-0.290625,-0.409375,-0.46,0.850666667,0.628571429,0.54375,0.033333333,-0.72,-0.446666667
0.075,-0.4375,-0.509375,-0.52,0.868,0.657142857,0.5375,0.033333333,-0.84,-0.571818182
-0.075,-0.2625,-0.39375,-0.4,0.862,0.7,0.50625,0.166666667,-0.753333333,-0.363939394
0.025,-0.346875,-0.465625,-0.48,0.863333333,0.628571429,0.53125,0.066666667,-0.773333333,-0.463333333
0,-0.346875,-0.4625,-0.48,0.866666667,0.685714286,0.522916667,0.133333333,-0.773333333,-0.494242424
-0.125,-0.275,-0.40625,-0.46,0.864,0.657142857,0.51875,0.1,-0.726666667,-0.398484848
-0.075,-0.478125,-0.559375,-0.52,0.863333333,0.371428571,0.683333333,-0.4,-0.846666667,-0.548787879
